PS C:\Users\Konrad> & C:/Users/Konrad/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Konrad/GoL-TwT/GoL_class.py
Spiralint: 10253 Generations: 1283 Cycletime: 1
Spiralint: 10382 Generations: 1201 Cycletime: 1
Spiralint: 10607 Generations: 2286 Cycletime: 1
Spiralint: 10671 Generations: 2286 Cycletime: 1
Spiralint: 10679 Generations: 2286 Cycletime: 1
Spiralint: 10722 Generations: 1144 Cycletime: 1
Spiralint: 10766 Generations: 1283 Cycletime: 1
Spiralint: 10863 Generations: 2286 Cycletime: 1
Spiralint: 10874 Generations: 1413 Cycletime: 1
Spiralint: 10978 Generations: 1144 Cycletime: 1
Spiralint: 11117 Generations: 2286 Cycletime: 1
Spiralint: 11276 Generations: 1201 Cycletime: 1
Spiralint: 11384 Generations: 1102 Cycletime: 1
Spiralint: 11386 Generations: 1413 Cycletime: 1
Spiralint: 11564 Generations: 1201 Cycletime: 1
Spiralint: 11596 Generations: 1201 Cycletime: 1
Spiralint: 11740 Generations: 1328 Cycletime: 1
Spiralint: 11833 Generations: 1413 Cycletime: 1
Spiralint: 11901 Generations: 1149 Cycletime: 1
Spiralint: 12000 Generations: 1040 Cycletime: 1
Spiralint: 12028 Generations: 1149 Cycletime: 1
Spiralint: 12033 Generations: 1284 Cycletime: 1
Spiralint: 12104 Generations: 1284 Cycletime: 1
Spiralint: 12157 Generations: 1364 Cycletime: 1
Spiralint: 12172 Generations: 1199 Cycletime: 1
Spiralint: 12234 Generations: 1000 Cycletime: 1
Spiralint: 12539 Generations: 1414 Cycletime: 1
Spiralint: 12557 Generations: 1283 Cycletime: 1
Spiralint: 12621 Generations: 1282 Cycletime: 1
Spiralint: 12667 Generations: 1414 Cycletime: 1
Spiralint: 12789 Generations: 1465 Cycletime: 1
Spiralint: 12813 Generations: 1283 Cycletime: 1
Spiralint: 12923 Generations: 1414 Cycletime: 1
Spiralint: 13251 Generations: 1143 Cycletime: 1
Spiralint: 13944 Generations: 1102 Cycletime: 1
Spiralint: 14152 Generations: 1285 Cycletime: 1
Spiralint: 14196 Generations: 1189 Cycletime: 1
Spiralint: 14199 Generations: 1072 Cycletime: 1
Spiralint: 14212 Generations: 1215 Cycletime: 1
Spiralint: 14269 Generations: 1150 Cycletime: 1
Spiralint: 14281 Generations: 1939 Cycletime: 1
Spiralint: 14305 Generations: 1143 Cycletime: 1
Spiralint: 14314 Generations: 1145 Cycletime: 1
Spiralint: 14320 Generations: 2714 Cycletime: 1
Spiralint: 14361 Generations: 1281 Cycletime: 1
Spiralint: 14904 Generations: 1281 Cycletime: 1
Spiralint: 15543 Generations: 1015 Cycletime: 1
Spiralint: 15832 Generations: 1163 Cycletime: 1
Spiralint: 16049 Generations: 1193 Cycletime: 1
Spiralint: 16414 Generations: 1283 Cycletime: 1
Spiralint: 16429 Generations: 1417 Cycletime: 1
Spiralint: 16444 Generations: 1201 Cycletime: 1
Spiralint: 16477 Generations: 1283 Cycletime: 1
Spiralint: 16483 Generations: 1285 Cycletime: 1
Spiralint: 16583 Generations: 1146 Cycletime: 1
Spiralint: 16626 Generations: 1284 Cycletime: 1
Spiralint: 16669 Generations: 1201 Cycletime: 1
Spiralint: 16892 Generations: 1199 Cycletime: 1
Spiralint: 17084 Generations: 1201 Cycletime: 1
Spiralint: 17103 Generations: 1419 Cycletime: 1
Spiralint: 17140 Generations: 1284 Cycletime: 1
Spiralint: 17161 Generations: 1203 Cycletime: 1
Spiralint: 17349 Generations: 1144 Cycletime: 1
Spiralint: 17354 Generations: 1144 Cycletime: 1
Spiralint: 17378 Generations: 1144 Cycletime: 1
Spiralint: 17379 Generations: 1143 Cycletime: 1
Spiralint: 17397 Generations: 1000 Cycletime: 1
Spiralint: 17596 Generations: 1201 Cycletime: 1
Spiralint: 17807 Generations: 1414 Cycletime: 1
Spiralint: 17823 Generations: 2286 Cycletime: 1
Spiralint: 17890 Generations: 1144 Cycletime: 1
Spiralint: 17896 Generations: 1360 Cycletime: 1
Spiralint: 17999 Generations: 1414 Cycletime: 1
Spiralint: 18015 Generations: 2286 Cycletime: 1
Spiralint: 18063 Generations: 1414 Cycletime: 1
Spiralint: 18079 Generations: 2286 Cycletime: 1
Spiralint: 18094 Generations: 1414 Cycletime: 1
Spiralint: 18142 Generations: 2286 Cycletime: 1
Spiralint: 18257 Generations: 1144 Cycletime: 1
Spiralint: 18288 Generations: 1040 Cycletime: 1
